Wed Feb 17 22:47:46 2021 | 3.03 sec | 411.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:54:13 2021 | 2.47 sec | 335.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:54:40 2021 | 2.35 sec | 318.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:55:17 2021 | 2.56 sec | 347.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:55:37 2021 | 2.56 sec | 347.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:56:02 2021 | 2.29 sec | 310.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:57:08 2021 | 2.96 sec | 402.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:59:47 2021 | 2.36 sec | 320.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:00:30 2021 | 2.51 sec | 341.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:00:48 2021 | 2.55 sec | 345.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:01:48 2021 | 2.88 sec | 390.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:02:02 2021 | 2.42 sec | 327.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:03:55 2021 | 3.66 sec | 496.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:04:37 2021 | 2.63 sec | 356.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:08:20 2021 | 2.69 sec | 365.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:08:49 2021 | 3.74 sec | 507.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:09:07 2021 | 2.64 sec | 357.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:11:06 2021 | 3.02 sec | 410.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:12:01 2021 | 2.82 sec | 383.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:13:22 2021 | 3.32 sec | 450.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:14:04 2021 | 3.34 sec | 453.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:20:50 2021 | 2.96 sec | 401.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 23:22:02 2021 | 3.27 sec | 443.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 08:13:02 2021 | 2.29 sec | 310.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 08:13:52 2021 | 2.70 sec | 365.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 08:15:06 2021 | 2.90 sec | 392.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 11:59:41 2021 | 2.68 sec | 363.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:00:46 2021 | 3.27 sec | 443.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:01:23 2021 | 3.80 sec | 515.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:02:53 2021 | 2.54 sec | 344.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:07:26 2021 | 2.53 sec | 342.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:08:24 2021 | 1.13 sec | 153.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:19:19 2021 | 1.37 sec | 185.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:19:49 2021 | 1.19 sec | 161.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:21:17 2021 | 1.20 sec | 162.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:23:27 2021 | 1.16 sec | 157.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:24:43 2021 | 1.22 sec | 165.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:25:07 2021 | 2.20 sec | 298.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:25:16 2021 | 1.28 sec | 173.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:26:18 2021 | 1.18 sec | 159.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:27:10 2021 | 1.24 sec | 168.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:27:58 2021 | 1.23 sec | 166.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:29:03 2021 | 1.20 sec | 162.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:32:06 2021 | 1.26 sec | 170.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:32:19 2021 | 1.25 sec | 168.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:32:51 2021 | 1.30 sec | 176.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:34:59 2021 | 1.40 sec | 189.3 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:36:29 2021 | 1.29 sec | 175.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:36:38 2021 | 1.29 sec | 174.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:37:35 2021 | 1.30 sec | 176.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:42:00 2021 | 1.22 sec | 165.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:43:12 2021 | 1.24 sec | 167.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:43:37 2021 | 1.22 sec | 165.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:44:36 2021 | 1.34 sec | 181.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:46:44 2021 | 1.66 sec | 225.3 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:47:36 2021 | 1.30 sec | 176.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:49:15 2021 | 1.29 sec | 175.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:54:41 2021 | 1.26 sec | 170.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:55:05 2021 | 1.23 sec | 167.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 12:56:00 2021 | 1.94 sec | 262.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 13:00:39 2021 | 1.27 sec | 172.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 13:01:03 2021 | 1.23 sec | 166.3 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 13:01:57 2021 | 1.24 sec | 167.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 13:03:03 2021 | 1.28 sec | 173.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 13:04:38 2021 | 1.28 sec | 174.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Thu Feb 18 13:06:40 2021 | 9.46 sec | 160.4 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Thu Feb 18 13:07:45 2021 | 9.49 sec | 160.9 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Thu Feb 18 13:12:23 2021 | 9.18 sec | 155.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Thu Feb 18 13:48:24 2021 | 9.13 sec | 154.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 20 09:44:15 2021 | 9.12 sec | 154.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 16:10:19 2021 | 124.41 sec | 2109.3 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 16:14:30 2021 | 146.07 sec | 2476.6 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 16:15:53 2021 | 9.27 sec | 157.1 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 16:16:40 2021 | 9.10 sec | 154.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
